kb_id,category,intent,title,problem,symptoms,resolution_steps,additional_information,escalation_condition,search_text
KB037,API/Integration,timezone_api,API timezone mismatch,API-created events appear on the wrong day or at the wrong time.,Time shifted; wrong day in calendar.,"Verify timezone fields and ISO-8601 timestamps, then compare stored UTC time with the account's display timezone.",Rendering timezone and storage timezone are separate concerns.,Escalate if timestamps are stored incorrectly.,"Category: API/Integration
Intent: timezone_api
Issue: API timezone mismatch
Problem: API-created events appear on the wrong day or at the wrong time.
Symptoms: Time shifted; wrong day in calendar.
Resolution: Verify timezone fields and ISO-8601 timestamps, then compare stored UTC time with the account's display timezone.
Additional information: Rendering timezone and storage timezone are separate concerns.
Escalation: Escalate if timestamps are stored incorrectly."
KB028,API/Integration,webhook_retries,Webhook retry storm,Customer receives a large burst of webhook events after an outage.,Many repeated webhook requests.,"Check endpoint health and idempotency handling, then use supported retry/backoff controls and rate limits.",Consumers should tolerate retries and avoid duplicate processing.,Escalate if retry volume threatens service stability.,"Category: API/Integration
Intent: webhook_retries
Issue: Webhook retry storm
Problem: Customer receives a large burst of webhook events after an outage.
Symptoms: Many repeated webhook requests.
Resolution: Check endpoint health and idempotency handling, then use supported retry/backoff controls and rate limits.
Additional information: Consumers should tolerate retries and avoid duplicate processing.
Escalation: Escalate if retry volume threatens service stability."
KB027,API/Integration,webhook_signature,Webhook signature verification failure,Customer's webhook consumer rejects events after a signing-secret change.,Invalid signature; events rejected.,"Verify the current signing secret, update the customer's environment/configuration, redeploy if necessary, and test with a fresh webhook event.",Old cached secrets commonly cause failures after rotation.,Escalate if signatures remain invalid with the confirmed current secret.,"Category: API/Integration
Intent: webhook_signature
Issue: Webhook signature verification failure
Problem: Customer's webhook consumer rejects events after a signing-secret change.
Symptoms: Invalid signature; events rejected.
Resolution: Verify the current signing secret, update the customer's environment/configuration, redeploy if necessary, and test with a fresh webhook event.
Additional information: Old cached secrets commonly cause failures after rotation.
Escalation: Escalate if signatures remain invalid with the confirmed current secret."
KB045,Account Management,account_transfer,Workspace ownership/admin transfer,Customer needs to transfer workspace administration.,Previous admin unavailable or ownership changed.,"Verify authorization, assign the appropriate admin role, and confirm access to required workspace settings.",Ownership transfers should be audited.,Escalate disputed ownership.,"Category: Account Management
Intent: account_transfer
Issue: Workspace ownership/admin transfer
Problem: Customer needs to transfer workspace administration.
Symptoms: Previous admin unavailable or ownership changed.
Resolution: Verify authorization, assign the appropriate admin role, and confirm access to required workspace settings.
Additional information: Ownership transfers should be audited.
Escalation: Escalate disputed ownership."
KB046,Account Management,audit_log_missing,Audit log missing API activity,Compliance user cannot see API-originated actions in the audit log.,UI actions logged; API actions absent.,"Verify whether API actions are supported by the audit-log scope, then inspect available request history and logging configuration.",Audit coverage may differ by operation/version.,Escalate compliance-impacting gaps.,"Category: Account Management
Intent: audit_log_missing
Issue: Audit log missing API activity
Problem: Compliance user cannot see API-originated actions in the audit log.
Symptoms: UI actions logged; API actions absent.
Resolution: Verify whether API actions are supported by the audit-log scope, then inspect available request history and logging configuration.
Additional information: Audit coverage may differ by operation/version.
Escalation: Escalate compliance-impacting gaps."
KB039,Account Management,change_email,Change account email,Customer wants to change the email associated with an account.,Old email no longer desired; new email provided.,"Verify identity and account ownership, update the email through the supported account flow, and complete any required verification.",Email changes may affect SSO and recovery.,Escalate when ownership cannot be verified.,"Category: Account Management
Intent: change_email
Issue: Change account email
Problem: Customer wants to change the email associated with an account.
Symptoms: Old email no longer desired; new email provided.
Resolution: Verify identity and account ownership, update the email through the supported account flow, and complete any required verification.
Additional information: Email changes may affect SSO and recovery.
Escalation: Escalate when ownership cannot be verified."
KB044,Account Management,custom_domain_ssl,Custom-domain SSL problem,Custom domain shows certificate/security warnings.,Expired certificate; browser security warning.,"Verify DNS validation and certificate status, renew through the supported process, and confirm the certificate chain.",DNS changes can break automated renewal.,Escalate certificate renewal failures.,"Category: Account Management
Intent: custom_domain_ssl
Issue: Custom-domain SSL problem
Problem: Custom domain shows certificate/security warnings.
Symptoms: Expired certificate; browser security warning.
Resolution: Verify DNS validation and certificate status, renew through the supported process, and confirm the certificate chain.
Additional information: DNS changes can break automated renewal.
Escalation: Escalate certificate renewal failures."
KB047,Account Management,data_residency,Data residency request,Customer needs data hosted in a specific region.,Regional compliance requirement.,Confirm the account's supported regions and contractual requirements. Use the approved migration process if a region change is supported.,Regional migration may require infrastructure assistance.,Escalate legal/compliance requirements.,"Category: Account Management
Intent: data_residency
Issue: Data residency request
Problem: Customer needs data hosted in a specific region.
Symptoms: Regional compliance requirement.
Resolution: Confirm the account's supported regions and contractual requirements. Use the approved migration process if a region change is supported.
Additional information: Regional migration may require infrastructure assistance.
Escalation: Escalate legal/compliance requirements."
KB048,Account Management,deactivated_user_data,Deactivated user data missing,Data owned by a deactivated employee appears inaccessible.,Documents/tasks disappeared after deactivation.,"Check ownership rules and backups, recover data if supported, and reassign ownership to an active user.",Deactivation should not silently destroy required business data.,Escalate data-loss incidents.,"Category: Account Management
Intent: deactivated_user_data
Issue: Deactivated user data missing
Problem: Data owned by a deactivated employee appears inaccessible.
Symptoms: Documents/tasks disappeared after deactivation.
Resolution: Check ownership rules and backups, recover data if supported, and reassign ownership to an active user.
Additional information: Deactivation should not silently destroy required business data.
Escalation: Escalate data-loss incidents."
KB040,Account Management,delete_account,Delete account,Customer requests account deletion.,Deletion request; privacy request.,"Verify identity, resolve blockers such as active billing disputes, explain irreversible consequences, then process deletion according to policy.",Deletion requirements depend on legal and retention obligations.,Escalate privacy/legal requests or unresolved disputes.,"Category: Account Management
Intent: delete_account
Issue: Delete account
Problem: Customer requests account deletion.
Symptoms: Deletion request; privacy request.
Resolution: Verify identity, resolve blockers such as active billing disputes, explain irreversible consequences, then process deletion according to policy.
Additional information: Deletion requirements depend on legal and retention obligations.
Escalation: Escalate privacy/legal requests or unresolved disputes."
KB042,Account Management,guest_access,Removed guest still has access,A guest retains access after being removed from a project.,Guest can still view/edit project.,"Verify membership and permissions, revoke the guest's project access, invalidate stale permissions/cache where supported, and retest.",Client-side state may display stale permissions.,Escalate if server-side authorization still permits access.,"Category: Account Management
Intent: guest_access
Issue: Removed guest still has access
Problem: A guest retains access after being removed from a project.
Symptoms: Guest can still view/edit project.
Resolution: Verify membership and permissions, revoke the guest's project access, invalidate stale permissions/cache where supported, and retest.
Additional information: Client-side state may display stale permissions.
Escalation: Escalate if server-side authorization still permits access."
KB041,Account Management,role_permissions,Incorrect role permissions,User has more or fewer permissions than intended.,Access denied or excessive access.,"Review role membership and permission inheritance, correct the affected user or group, and verify access after propagation.",Avoid changing an entire team when only one user is affected.,Escalate suspected unauthorized access.,"Category: Account Management
Intent: role_permissions
Issue: Incorrect role permissions
Problem: User has more or fewer permissions than intended.
Symptoms: Access denied or excessive access.
Resolution: Review role membership and permission inheritance, correct the affected user or group, and verify access after propagation.
Additional information: Avoid changing an entire team when only one user is affected.
Escalation: Escalate suspected unauthorized access."
KB043,Account Management,workspace_merge,Merge duplicate workspaces,Customer created multiple workspaces and wants to consolidate them.,Duplicate workspace; migration request.,"Identify the source and destination workspace, inventory members/projects/data, perform an approved migration, then archive the duplicate.",Merges can be destructive and require careful validation.,Escalate to the migration/admin team.,"Category: Account Management
Intent: workspace_merge
Issue: Merge duplicate workspaces
Problem: Customer created multiple workspaces and wants to consolidate them.
Symptoms: Duplicate workspace; migration request.
Resolution: Identify the source and destination workspace, inventory members/projects/data, perform an approved migration, then archive the duplicate.
Additional information: Merges can be destructive and require careful validation.
Escalation: Escalate to the migration/admin team."
KB022,Billing,cancel_subscription,Cannot find cancellation option,Customer cannot locate the subscription cancellation control.,No cancel button; cancellation unavailable.,"Check account permissions and subscription status. If self-service cancellation is unavailable, follow the approved support cancellation process.",Some contracts or billing states may require assisted cancellation.,Escalate contractual cancellation disputes.,"Category: Billing
Intent: cancel_subscription
Issue: Cannot find cancellation option
Problem: Customer cannot locate the subscription cancellation control.
Symptoms: No cancel button; cancellation unavailable.
Resolution: Check account permissions and subscription status. If self-service cancellation is unavailable, follow the approved support cancellation process.
Additional information: Some contracts or billing states may require assisted cancellation.
Escalation: Escalate contractual cancellation disputes."
KB014,Billing,duplicate_charge,Duplicate charge,Customer sees multiple charges for the same purchase.,Two or more identical charges.,"Compare transaction IDs and timestamps, determine whether one is an authorization or completed charge, and refund confirmed duplicate charges according to policy.",Do not assume two pending authorizations are permanent duplicate charges.,Escalate disputed or unauthorized transactions.,"Category: Billing
Intent: duplicate_charge
Issue: Duplicate charge
Problem: Customer sees multiple charges for the same purchase.
Symptoms: Two or more identical charges.
Resolution: Compare transaction IDs and timestamps, determine whether one is an authorization or completed charge, and refund confirmed duplicate charges according to policy.
Additional information: Do not assume two pending authorizations are permanent duplicate charges.
Escalation: Escalate disputed or unauthorized transactions."
KB019,Billing,incorrect_seat_count,Incorrect billed seat count,Customer is charged for more seats than expected.,Billed seats exceed active users.,"Compare active, deactivated, and billable users. Correct stale directory synchronization and apply an approved credit when overbilling is confirmed.",Billing definitions may count seats differently from active-user counts.,Escalate unresolved seat-count discrepancies.,"Category: Billing
Intent: incorrect_seat_count
Issue: Incorrect billed seat count
Problem: Customer is charged for more seats than expected.
Symptoms: Billed seats exceed active users.
Resolution: Compare active, deactivated, and billable users. Correct stale directory synchronization and apply an approved credit when overbilling is confirmed.
Additional information: Billing definitions may count seats differently from active-user counts.
Escalation: Escalate unresolved seat-count discrepancies."
KB024,Billing,invoice_duplicate,Duplicate invoices,Multiple invoices were generated for one billing period.,Repeated invoices for same period.,"Compare invoice IDs and billing events, void confirmed duplicates, and retain the valid invoice.",Retry jobs can sometimes create duplicate records.,Escalate if duplicate charges also occurred.,"Category: Billing
Intent: invoice_duplicate
Issue: Duplicate invoices
Problem: Multiple invoices were generated for one billing period.
Symptoms: Repeated invoices for same period.
Resolution: Compare invoice IDs and billing events, void confirmed duplicates, and retain the valid invoice.
Additional information: Retry jobs can sometimes create duplicate records.
Escalation: Escalate if duplicate charges also occurred."
KB018,Billing,invoice_missing,Invoice unavailable,Customer cannot locate or download an expected invoice.,Missing invoice; download error.,"Check billing history, verify the billing period, retry the download, and regenerate the invoice if the original document is unavailable.",Archived invoices may require regeneration.,Escalate if billing records themselves are missing or inconsistent.,"Category: Billing
Intent: invoice_missing
Issue: Invoice unavailable
Problem: Customer cannot locate or download an expected invoice.
Symptoms: Missing invoice; download error.
Resolution: Check billing history, verify the billing period, retry the download, and regenerate the invoice if the original document is unavailable.
Additional information: Archived invoices may require regeneration.
Escalation: Escalate if billing records themselves are missing or inconsistent."
KB023,Billing,negative_invoice,Negative invoice balance,Invoice shows an unexpected negative amount.,Negative balance after discounts or credits.,"Review discounts and credits, remove invalid stacking, and correct the invoice/account balance according to billing rules.",Do not remove legitimate credits without verification.,Escalate complex credit disputes.,"Category: Billing
Intent: negative_invoice
Issue: Negative invoice balance
Problem: Invoice shows an unexpected negative amount.
Symptoms: Negative balance after discounts or credits.
Resolution: Review discounts and credits, remove invalid stacking, and correct the invoice/account balance according to billing rules.
Additional information: Do not remove legitimate credits without verification.
Escalation: Escalate complex credit disputes."
KB013,Billing,payment_declined,Payment declined,Card payment fails even though the customer believes the card is valid.,Declined payment; checkout failure.,"Confirm card details, billing address/postal code, expiration, and available funds. Retry once after correcting any mismatch.",Payment processors may reject mismatched billing details.,Escalate to the payment team if valid details continue to be rejected.,"Category: Billing
Intent: payment_declined
Issue: Payment declined
Problem: Card payment fails even though the customer believes the card is valid.
Symptoms: Declined payment; checkout failure.
Resolution: Confirm card details, billing address/postal code, expiration, and available funds. Retry once after correcting any mismatch.
Additional information: Payment processors may reject mismatched billing details.
Escalation: Escalate to the payment team if valid details continue to be rejected."
KB021,Billing,proration_missing,Proration credit missing,Customer changed plans mid-cycle but expected a prorated credit.,Plan changed without expected credit.,"Verify the plan-change date and billing cycle, calculate the unused portion according to billing rules, and apply the approved adjustment.",Mobile and web flows may have different billing parameters.,Escalate billing-engine calculation discrepancies.,"Category: Billing
Intent: proration_missing
Issue: Proration credit missing
Problem: Customer changed plans mid-cycle but expected a prorated credit.
Symptoms: Plan changed without expected credit.
Resolution: Verify the plan-change date and billing cycle, calculate the unused portion according to billing rules, and apply the approved adjustment.
Additional information: Mobile and web flows may have different billing parameters.
Escalation: Escalate billing-engine calculation discrepancies."
KB015,Billing,refund_missing,Refund not received,Customer was told a refund was processed but cannot see it.,Refund absent from card statement.,"Confirm refund status and original payment method. Provide the refund reference and expected processing window. If the original payment method is unavailable, use an approved alternate method.",Bank/card processing times vary.,Escalate failed or rejected refunds.,"Category: Billing
Intent: refund_missing
Issue: Refund not received
Problem: Customer was told a refund was processed but cannot see it.
Symptoms: Refund absent from card statement.
Resolution: Confirm refund status and original payment method. Provide the refund reference and expected processing window. If the original payment method is unavailable, use an approved alternate method.
Additional information: Bank/card processing times vary.
Escalation: Escalate failed or rejected refunds."
KB017,Billing,tax_exemption,Tax exemption not applied,Eligible customer was charged tax despite having a valid exemption.,Tax charged; exemption missing.,"Verify the exemption certificate and account tax status, reapply the exemption, and issue an adjustment/refund according to policy.",Tax rules depend on jurisdiction and account information.,Escalate tax disputes or invalid documentation.,"Category: Billing
Intent: tax_exemption
Issue: Tax exemption not applied
Problem: Eligible customer was charged tax despite having a valid exemption.
Symptoms: Tax charged; exemption missing.
Resolution: Verify the exemption certificate and account tax status, reapply the exemption, and issue an adjustment/refund according to policy.
Additional information: Tax rules depend on jurisdiction and account information.
Escalation: Escalate tax disputes or invalid documentation."
KB020,Billing,trial_converted_to_paid,Unexpected trial conversion,Free trial converted to a paid subscription unexpectedly.,Unexpected charge at trial end.,"Verify trial end date and notification status. If the conversion was incorrect under the customer's agreement, process the approved refund or trial adjustment.",Check account terms before refunding.,Escalate disputes about authorization or contractual terms.,"Category: Billing
Intent: trial_converted_to_paid
Issue: Unexpected trial conversion
Problem: Free trial converted to a paid subscription unexpectedly.
Symptoms: Unexpected charge at trial end.
Resolution: Verify trial end date and notification status. If the conversion was incorrect under the customer's agreement, process the approved refund or trial adjustment.
Additional information: Check account terms before refunding.
Escalation: Escalate disputes about authorization or contractual terms."
KB016,Billing,wrong_currency,Incorrect billing currency,Invoice or dashboard displays a currency different from the account setting.,USD instead of EUR or another configured currency.,"Verify account region and currency configuration, then regenerate/correct the invoice when supported.",Regional pricing or currency-service failures can cause fallback currency.,Escalate if the currency changes without an account/configuration change.,"Category: Billing
Intent: wrong_currency
Issue: Incorrect billing currency
Problem: Invoice or dashboard displays a currency different from the account setting.
Symptoms: USD instead of EUR or another configured currency.
Resolution: Verify account region and currency configuration, then regenerate/correct the invoice when supported.
Additional information: Regional pricing or currency-service failures can cause fallback currency.
Escalation: Escalate if the currency changes without an account/configuration change."
KB080,Card Payments,card_payment_fee_charged,Fee charged for card payment,The customer was charged a fee when making a payment with their card.,"Unexpected card payment fee, extra fee when paying by card, or customer asks why a card payment has a charge.",Review the payment and identify the fee shown in the transaction details. Explain the available fee information for that payment.,This intent is specifically about a fee associated with a card payment.,Escalate if the customer disputes the charge and the fee cannot be explained from the available transaction details.,card payment fee charged fee using card extra card payment charge card transaction fee payment fee charged
KB081,Card Payments,card_payment_not_recognised,Unrecognised card payment,The customer sees a card payment they do not recognise.,"Unknown merchant, unfamiliar card transaction, or a payment the customer says they did not make.","Review the transaction details and merchant information. If the customer still does not recognise the payment, follow the available process for reporting an unrecognised card payment.",Do not treat an unrecognised payment as a normal declined payment.,Escalate when the customer reports an unauthorised or fraudulent card payment.,card payment not recognised unknown payment unfamiliar merchant card transaction I didn't make payment not mine unrecognised card charge unknown card payment
KB082,Card Payments,card_payment_wrong_exchange_rate,Wrong exchange rate for card payment,The customer believes the exchange rate applied to a card purchase was incorrect.,"Wrong exchange rate on purchase, incorrect currency conversion, or customer was charged more because of the exchange rate.",Review the payment currency and exchange-rate information associated with the transaction. Compare the applied conversion information with the available transaction details.,"This intent concerns exchange rates applied to card payments, not general exchange-rate information.",Escalate if the applied exchange rate appears incorrect and the transaction cannot be explained from the available data.,wrong exchange rate card payment purchase currency conversion exchange rate charged purchase exchange rate incorrect card purchase exchange rate
KB089,Card Security,compromised_card,Card security compromise,The customer believes their card details or card have been compromised or used by someone else.,"Suspected fraudulent use, hacked card, stolen card details, or transactions the customer believes were made by someone else.",Secure the card using the available controls and review the suspicious activity. Follow the supported process for reporting suspected card compromise.,"This intent concerns suspected compromise or fraudulent use, and should not be treated as an ordinary card problem.",Escalate whenever the customer reports suspected fraudulent use or compromised card details.,compromised card hacked card fraudulent use card stolen card details someone using my card unauthorised card activity
KB086,Cards,activate_my_card,Card activation,The customer needs to activate a new card or reports that card activation is not working.,"Cannot activate card, new card needs activation, or activation attempt failed.","Use the available card activation process in the app or through the supported activation method. If activation fails, contact support for assistance.",Activation is separate from linking a card to the app.,Escalate if the customer cannot activate the card after following the supported activation process.,activate card card activation activate new card card won't activate activation failed start using card
KB087,Cards,card_about_to_expire,Card expiration and replacement,The customer's card is approaching its expiration date and they want to know about replacement.,"Card expiring, expired card, replacement card, new expiration date, or replacement while abroad.",Check the available replacement-card process and the customer's card status. Follow the supported replacement process for an expiring card.,This intent concerns replacement of an expiring card.,Escalate if the replacement cannot be arranged through the available process or the customer has a special replacement circumstance.,card expiring card about to expire expired card replacement new card expiration date replace expired card
KB084,Cards,card_acceptance,Where the card can be used,"The customer wants to know which merchants, stores, or locations accept the card.","Questions about card acceptance, supported businesses, stores, or places where the card can be used.",Check the available card acceptance information for the type of transaction and merchant involved.,This intent concerns where the card can be used rather than a specific declined transaction.,Escalate if the customer reports a persistent acceptance problem that cannot be explained by the available information.,where can I use card card acceptance stores merchants businesses accept card card accepted locations card usage
KB076,Cards,card_arrival,Card has not arrived,The customer is waiting for a card that has already been ordered and has not arrived.,"Card delivery is taking longer than expected, the customer cannot find the card, or they want to track its delivery.","Check the card delivery status and available tracking information. Confirm the delivery details associated with the order. If the card cannot be located or delivery appears to have failed, contact support for assistance.",This intent concerns a card that has already been ordered and is expected to arrive.,"Escalate if the card cannot be located, delivery appears to have failed, or the customer reports a possible lost card.",card has not arrived card hasn't arrived waiting for card new card delivery delayed card delivery status track card where is my card card still waiting card lost during delivery
KB077,Cards,card_delivery_estimate,Card delivery estimate,The customer wants to know when a newly ordered card is expected to arrive or whether faster delivery is available.,"Questions about expected delivery date, delivery speed, fast tracking, or expedited delivery.",Check the available card delivery options and the estimated delivery information for the customer's order.,This intent concerns the expected delivery time rather than a card that is already overdue.,Escalate if the expected delivery information is unavailable or the customer reports an overdue or failed delivery.,when will card arrive card delivery estimate delivery time how long card takes expected card delivery fast tracked card express delivery card delivery date
KB078,Cards,card_linking,Link a card to the app,The customer has a physical card and wants to link or add it to the app.,"Found card, new card not linked, card does not appear in the app, or customer wants to connect the card to the app.",Open the card management area in the app and follow the available option to link or add the physical card.,This intent concerns connecting an existing physical card to the customer's app.,Escalate if the card cannot be linked after following the available in-app process.,link card app add card to app card not linked found card link physical card card show in app connect card app
KB079,Cards,card_not_working,Card is not working,The customer's card is not working when they attempt to use it.,"Card does not work, card is declined, or the customer cannot use the card generally.","Check whether the problem occurs for multiple transactions or locations. Verify that the card is active and not blocked. If the problem continues, contact support for further checks.","Use this intent for a general card problem when the customer has not identified a specific payment, contactless, ATM, or card-security issue.",Escalate if the card remains unusable after basic checks or if there is a suspected security issue.,card not working card doesn't work card won't work unable to use card broken card card not usable card stopped working
KB083,Cards,card_swallowed,Card retained by ATM,The customer's card was retained or swallowed by an ATM.,"ATM kept the card, card trapped inside ATM, or ATM did not return the card.",Do not attempt to force the card out of the ATM. Follow the available card-replacement or card-security process and contact support if further assistance is required.,This intent specifically concerns a physical card retained by an ATM.,Escalate because the physical card has been retained by an ATM and may require replacement or security action.,ATM swallowed card ATM kept card card trapped ATM card not returned card retained by ATM machine took my card
KB088,Cards,change_pin,Change card PIN,The customer wants to change the PIN associated with their card.,"Request to change PIN, choose a different PIN, or ask where the PIN can be changed.",Use the supported PIN-change process and follow the instructions provided for changing the card PIN.,This intent concerns voluntarily changing the PIN. A blocked PIN is handled separately.,Escalate if the customer cannot change the PIN using the supported process.,change PIN change pin number new PIN different PIN update card PIN modify PIN
KB090,Cards,contactless_not_working,Contactless payment not working,The customer cannot make a contactless payment with their card.,"Contactless payments fail, contactless does not work, or contactless payment is rejected.","Try the supported contactless troubleshooting steps and check whether the physical card works through another supported payment method. If contactless remains unavailable, contact support.",Use this intent for contactless-specific problems rather than general card payment declines.,Escalate if contactless remains unavailable after supported troubleshooting.,contactless not working contactless payment fails tap payment doesn't work contactless card payment contactless rejected
KB092,Cards,get_physical_card,Physical card information,The customer is asking for information about obtaining or using a physical card.,"Questions about a physical card, including basic physical card information.",Provide the available information about physical cards and direct the customer to the supported card-ordering process when they want to obtain one.,"The training data for this intent contains some noisy PIN-related examples, so this KB entry focuses on the physical-card meaning of the intent.",Escalate if the customer's physical-card request cannot be handled through the supported process.,physical card get physical card physical bank card card information obtain physical card
KB091,Cards,getting_spare_card,Additional or spare card,The customer wants an additional physical card.,"Request for spare card, extra card, additional physical card, or questions about additional-card charges.",Check the available options for ordering an additional physical card and any applicable information shown by the supported ordering process.,This intent concerns an additional card rather than the customer's first physical card.,Escalate if the additional-card request cannot be completed through the supported process.,spare card extra card additional card second card more physical cards additional card charge
